Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
Magisto,Video,Generation,https://www.magisto.com,Create videos from images easily,http://tomsmith.webfactional.com/notes/Magisto___Get_Fit_2289B471.png,,
Mr Data,Coding,Conversion,http://shancarter.github.io/mr-data-converter/,Convert tabular data (.csv) into json,http://tomsmith.webfactional.com/notes/Mr__Data_Converter_2289B494.png,,
Regexer,Coding,Regular Expressions,https://regexr.com/,LIve editing of regular expressions. ,http://tomsmith.webfactional.com/notes/RegExr__Learn__Build____Test_RegEx_2289B4BB.png,,
Rawgraphs,Visualisation,Data,http://app.rawgraphs.io/ ,Copy .csv data and play with visualisation possibilities.,http://tomsmith.webfactional.com/notes/Gallery_projects_•_RAWGraphs_2289B4E0.png,,
Charticulator,Visualisation,Data,https://charticulator.com/,Fantastic data-driven drawing and visualisation tool. For when you want to extract data from unstructured text.,http://tomsmith.webfactional.com/notes/Gallery___Charticulator_2289B500.png,,
Google Data Studio,Visualisation,Data,https://datastudio.google.com,Connect to your data source and create an interactive dashboard visualiation,http://tomsmith.webfactional.com/notes/Teaching_Responsibilities _›_Teaching_Responsibilities_across_all_groups_2289B525.png,,
Google Tour Builder,Maps,3D,https://tourbuilder.withgoogle.com,Create tours around Google VR spaces,http://tomsmith.webfactional.com/notes/Tour_Builder_2289B547.png,,
Blockly Games,Coding,Learn,https://blockly-games.appspot.com/?lang=en,Visual coding lessons,http://tomsmith.webfactional.com/notes/Blockly_Games_2289B564.png,,
TakeThreeNouns,Writing,Prompt,http://writingexercises.co.uk/take-three-nouns.php,Creative writing prompt tools,http://tomsmith.webfactional.com/notes/Take_Three_Nouns_Writing_Prompt_2289B57D.png,,
PoemGenerator,Writing,Prompt,https://www.poem-generator.org.uk/,Creative writing prompt tools,http://tomsmith.webfactional.com/notes/Poem_Generator_2289B59F.png,,
Character Generator,Writing,Prompt,https://www.character-generator.org.uk/quick/,"Creates characters, with characteristics you may use somehow.",http://tomsmith.webfactional.com/notes/Quick_Character_Profile_Generator_2289BC53.png,,
